canonical_smiles,pIC50,MolWt,LogP,HDonors,HAcceptors,TPSA,RotatableBonds
O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12,4.657577319177793,287.322,3.100900000000001,1.0,3.0,50.68,0.0
COc1ccc2c(=O)n3c(nc2c1)-c1[nH]c2ccccc2c1CC3,4.119186407719209,317.3480000000001,3.1095000000000015,1.0,4.0,59.910000000000004,1.0
O=c1c2ccc(Cl)cc2nc2n1CCc1c-2[nH]c2ccccc12,4.4089353929735005,321.76700000000005,3.7543000000000015,1.0,3.0,50.68,0.0
c1cncc(CCCOc2ccc(-n3ccnc3)cc2)c1,4.337242168318426,279.343,3.278900000000002,0.0,4.0,39.94,6.0
CCOC(=O)N1CCN(CCOc2ccc(-n3ccnc3)cc2)CC1,2.6497519816658373,344.4150000000001,2.0252,0.0,6.0,59.830000000000005,6.0
c1cn(-c2ccc(OCCN3CCOCC3)cc2)cn1,2.8297382846050425,273.3359999999999,1.5833,0.0,5.0,39.519999999999996,5.0
CN(C)CCOc1ccc(-n2ccnc2)cc1,1.8239087409443189,231.299,1.8127,0.0,4.0,30.29,5.0
c1cc(CCCOc2ccc(-n3ccnc3)cc2)ccn1,4.337242168318426,279.343,3.278900000000002,0.0,4.0,39.94,6.0
CN(C)CCCOc1ccc(-n2ccnc2)cc1,2.468521082957745,245.32600000000002,2.2028,0.0,4.0,30.29,6.0
c1ccc(CCCOc2ccc(-n3ccnc3)cc2)nc1,4.337242168318426,279.343,3.278900000000001,0.0,4.0,39.94,6.0
CCCCOc1ccc(-n2ccnc2)cc1,5.154901959985743,216.284,3.0512000000000015,0.0,3.0,27.05,5.0
CN(C)CCCCCCOc1ccc(-n2ccnc2)cc1,3.0969100130080562,287.40700000000004,3.3731000000000018,0.0,4.0,30.29,9.0
c1ccc(COc2ccc(-n3ccnc3)cc2)nc1,3.9208187539523753,251.28900000000002,2.8463000000000003,0.0,4.0,39.94,4.0
CCCCCCOc1ccc(-n2ccnc2)cn1,4.337242168318426,245.32600000000002,3.226400000000001,0.0,4.0,39.94,7.0
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccc(-c3cccnc3)c1)CC2,2.3979400086720375,413.3990000000001,5.370600000000004,1.0,3.0,54.46,3.0
CSc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccnc1)CC2,4.886056647693163,353.3690000000001,4.416900000000003,1.0,3.0,45.230000000000004,2.0
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2,1.0,444.4130000000002,5.199320000000004,1.0,5.0,76.58,4.0
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(Oc3cccnc3)nc1)CC2,2.3979400086720375,430.38600000000014,4.890900000000004,1.0,5.0,76.58,4.0
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(C)c(-c3cccnc3)c1)CC2,2.154901959985743,427.42600000000016,5.679020000000005,1.0,3.0,54.46,3.0
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cncc(-c3ccncc3)c1)CC2,1.3010299956639813,414.3870000000001,4.765600000000004,1.0,4.0,67.35,3.0
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cncc(-c3ccccc3)c1)CC2,2.5850266520291822,413.3990000000001,5.370600000000004,1.0,3.0,54.46,3.0
CCc1cc(NC(=O)N2CCc3cc(OC)c(C(F)(F)F)cc32)cc(-c2cccnc2)c1,2.221848749616356,441.45300000000003,5.933000000000005,1.0,3.0,54.46000000000001,4.0
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(-c3cccnc3)nc1)CC2,2.154901959985743,414.3870000000001,4.765600000000004,1.0,4.0,67.35,3.0
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccc(-c3ccccn3)c1)CC2,2.5228787452803374,413.3990000000001,5.370600000000004,1.0,3.0,54.46,3.0
Cc1cc2c(cc1Cl)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2,1.0,394.8620000000002,5.133740000000003,1.0,4.0,67.35000000000001,3.0
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccc(-c3cnccc3C)c1)CC2,2.0969100130080562,427.42600000000016,5.679020000000005,1.0,3.0,54.46,3.0
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(Cl)c(-c3cccnc3)c1)CC2,1.136677139879544,447.8440000000001,6.024000000000004,1.0,3.0,54.46,3.0
Cc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2,1.0,428.4140000000002,5.499140000000003,1.0,4.0,67.35000000000001,3.0
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cncc(-c3cccnc3)c1)CC2,1.1135092748275182,414.3870000000001,4.765600000000004,1.0,4.0,67.35,3.0
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cncc(-c3cnccc3C)c1)CC2,3.6989700043360187,428.41400000000016,5.074020000000004,1.0,4.0,67.35,3.0
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(Cl)c(-c3cnccc3C)c1)CC2,1.958607314841775,461.87100000000015,6.332420000000004,1.0,3.0,54.46,3.0
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(C)c(-c3cnccc3C)c1)CC2,1.0,441.4530000000002,5.987440000000005,1.0,3.0,54.46,3.0
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cc(F)cc(-c3cccnc3)c1)CC2,1.5528419686577808,431.3890000000001,5.509700000000004,1.0,3.0,54.46,3.0
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccc(-c3cccnc3C)c1)CC2,2.6989700043360187,427.42600000000016,5.679020000000005,1.0,3.0,54.46,3.0
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cc(Br)cc(-c3cccnc3)c1)CC2,2.154901959985743,492.29500000000013,6.133100000000004,1.0,3.0,54.46,3.0
COc1ccc(NC(=O)N2CCc3cc(OC)c(C(F)(F)F)cc32)cc1-c1cccnc1,2.5228787452803374,443.425,5.379200000000004,1.0,4.0,63.69,4.0
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccnc1)CC2,4.698970004336019,337.30100000000004,3.7036000000000024,1.0,3.0,54.46,2.0
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cc3c(c(-c4cccnc4)c1)OCC3)CC2,2.6989700043360187,455.43600000000026,5.305500000000005,1.0,4.0,63.69,3.0
COc1cc(/C=C/c2ccc(OC)cc2OC)cc(OC)c1,2.5086383061657274,300.35400000000004,3.8914000000000026,0.0,4.0,36.92,6.0
COc1cc(/C=C/c2ccoc2)cc(OC)c1,3.1307682802690238,230.26299999999998,3.467200000000002,0.0,3.0,31.6,4.0
COc1cc(/C=C/c2ccc(OC)cc2O)cc(OC)c1,1.5072396109731625,286.327,3.588400000000002,1.0,4.0,47.92,5.0
COc1cc(/C=C/c2ccc(OC)cc2F)cc(OC)c1,2.2365720064370627,288.318,4.021900000000003,0.0,3.0,27.69,5.0
COc1cc(/C=C/c2cc(OC)cc(OC)c2)cc(OC)c1,0.703334809738469,300.35400000000004,3.8914000000000026,0.0,4.0,36.92,6.0
COc1ccc(/C=C/c2cc(OC)cc(OC)c2)cc1,2.207608310501746,270.328,3.882800000000003,0.0,3.0,27.69,5.0
COc1cc(/C=C/c2ccc(OC)c(OC)c2)cc(OC)c1,0.24412514432750865,300.35400000000004,3.8914000000000026,0.0,4.0,36.92,6.0
COc1cc(/C=C/c2ccncc2)cc(OC)c1,3.537602002101044,241.29,3.2692000000000014,0.0,3.0,31.35,4.0
COc1cc(/C=C/c2cccs2)cc(OC)c1,4.958607314841775,246.331,3.9357000000000033,0.0,3.0,18.46,4.0
COc1cc(/C=C/c2cc(OC)c(OC)c(OC)c2)cc(OC)c1,3.0315170514460648,330.38,3.900000000000003,0.0,5.0,46.150000000000006,7.0
COc1cc(/C=N/c2ccc(OC)cc2OC)cc(OC)c1,-0.3010299956639812,301.34200000000004,3.4716000000000022,0.0,5.0,49.28,6.0
COc1cc(OC)cc(C(=O)Nc2ccc(OC)cc2OC)c1,1.193820026016113,317.34100000000007,2.973300000000001,1.0,5.0,66.02000000000001,6.0
Oc1cc(O)cc(/C=C/c2ccc(O)cc2O)c1,0.8239087409443188,244.24599999999998,2.6794000000000002,4.0,4.0,80.92,2.0
CSc1nc2ccccn2c(=N)c1S(=O)(=O)c1ccccc1,1.3979400086720375,331.422,2.3684700000000003,1.0,6.0,75.29,3.0
CCN1c2ncc(CSc3cc(C)nc(C)c3)cc2C(=O)Nc2c(C)ccnc21,1.5228787452803376,405.52700000000016,4.812860000000004,1.0,6.0,71.01,4.0
CCN1c2ncc(CSc3cc(C)nc(C)c3)cc2C(=O)Nc2c(C)cc(Cl)nc21,1.6382721639824072,439.9720000000002,5.466260000000004,1.0,6.0,71.01,4.0
CCN1c2ncc(CSc3cc(C)nc(C)c3)cc2C(=O)Nc2c(C)cc(F)nc21,1.585026652029182,423.51700000000017,4.951960000000004,1.0,6.0,71.01,4.0
C[C@H](NC(=O)/C=C/c1ccccc1)c1cccc(N2CCOCC2)c1,1.1079053973095196,336.4350000000002,3.413800000000002,1.0,3.0,41.57000000000001,5.0
C[C@H](Nc1cc(-c2sc(C3CCN(C)CC3)nc2-c2ccc(F)cc2)ccn1)c1ccccc1,2.6989700043360187,472.6330000000001,6.993500000000007,1.0,5.0,41.05,6.0
COc1ccc(C#CC(C)(C)N)cc1C(=O)c1ccc(Nc2ccc(F)cc2F)cc1,2.6989700043360187,420.45900000000006,5.036800000000004,2.0,4.0,64.35,5.0
CN1CCN(c2ccc3c(n2)nc(-c2ccc(F)cc2)n3-c2ccnc(NC3CCCC3)n2)CC1,2.6989700043360187,472.5720000000003,4.122900000000003,1.0,8.0,75.0,5.0
OC1(c2nc(-c3ccc(F)cc3)c(-c3ccnc(NC4CCCCC4)c3)o2)CCNCC1,2.6989700043360187,436.5310000000004,4.858300000000003,3.0,6.0,83.21000000000001,5.0
COc1cc2[nH]c(C)nc2cc1C(=O)c1ccc(Nc2ccc(F)cc2F)cc1,2.6989700043360187,393.3930000000001,5.132720000000003,2.0,4.0,67.00999999999999,5.0
CN1CCC(O)(c2cn(-c3ccnc(NC4CCCC4)n3)c(-c3cccc(C(F)(F)F)c3)n2)CC1,2.6989700043360187,486.54200000000026,4.615800000000004,2.0,7.0,79.10000000000001,5.0
CC(C(c1ccc2cc(OCC(C)(C)C(=O)O)ccc2c1)n1ccnc1)N(C)C,2.3010299956639813,395.50300000000004,4.065400000000002,1.0,5.0,67.58999999999999,8.0
CCN1c2ncc(CCOc3ccc(C(=O)O)cc3C)cc2C(=O)N(C)c2cccnc21,1.5228787452803376,432.4800000000002,3.8527200000000024,1.0,6.0,95.86000000000001,6.0
CCN1c2ncc(CCOc3ccc(C(=O)O)cc3C)cc2C(=O)N(C)c2ccc(F)nc21,1.7212463990471711,450.4700000000002,3.9918200000000024,1.0,6.0,95.86000000000001,6.0
Clc1ccc(Cl)c2ccccc12,2.638272163982407,197.06400000000002,4.146600000000002,0.0,0.0,0.0,0.0
Cc1cc(C)c2ccccc2n1,2.619788758288394,157.21599999999998,2.8516400000000006,0.0,1.0,12.89,0.0
Oc1cccc2ccccc12,2.494850021680094,144.17299999999997,2.5454000000000008,1.0,1.0,20.23,0.0
Cc1ccc2nc(C)ccc2c1,2.4814860601221125,157.216,2.8516400000000006,0.0,1.0,12.89,0.0
Cc1ccc(C)c2ccccc12,2.4436974992327127,156.228,3.456640000000002,0.0,0.0,0.0,0.0
Cc1ccc2ccc(C)nc2c1,2.3565473235138126,157.21599999999998,2.8516400000000006,0.0,1.0,12.89,0.0
Cc1ccc2ccccc2c1C,2.2596373105057563,156.22799999999998,3.456640000000002,0.0,0.0,0.0,0.0
Cc1ccc2cccc(C)c2c1,2.1249387366083,156.22799999999998,3.456640000000002,0.0,0.0,0.0,0.0
Cc1cc(C)c2ccccc2c1,2.1023729087095586,156.22799999999998,3.456640000000002,0.0,0.0,0.0,0.0
COc1ccc2ccccc2c1,1.8860566476931633,158.2,2.8484000000000007,0.0,1.0,9.23,1.0
Cc1cnc2ccccc2c1,1.8860566476931633,143.18899999999996,2.5432200000000007,0.0,1.0,12.89,0.0
Clc1cccc2c(Cl)cccc12,1.853871964321762,197.064,4.146600000000001,0.0,0.0,0.0,0.0
Oc1ccc2ccccc2c1,1.7695510786217261,144.17299999999997,2.5454,1.0,1.0,20.23,0.0
CCc1ccc2ccccc2c1,1.7212463990471711,156.22799999999998,3.4022000000000014,0.0,0.0,0.0,1.0
Cc1cc2ccccc2cn1,1.6777807052660807,143.189,2.5432200000000007,0.0,1.0,12.89,0.0
Cc1ccc2c(C)cccc2c1,1.6020599913279625,156.228,3.456640000000002,0.0,0.0,0.0,0.0
Cc1ccc2ccccc2n1,1.3979400086720375,143.189,2.5432200000000007,0.0,1.0,12.89,0.0
Cc1cccc2c(C)cccc12,1.3767507096020997,156.228,3.456640000000002,0.0,0.0,0.0,0.0
Fc1ccc2ccccc2c1,1.3098039199714864,146.164,2.978900000000001,0.0,0.0,0.0,0.0
Clc1cccc2ccccc12,1.3010299956639813,162.61899999999997,3.4932000000000016,0.0,0.0,0.0,0.0
Cc1ccc2cc(C)ccc2c1,1.2839966563652008,156.228,3.456640000000002,0.0,0.0,0.0,0.0
Cc1ccc2ccc(C)cc2c1,1.1870866433571443,156.228,3.456640000000002,0.0,0.0,0.0,0.0
Cc1cccc2ccccc12,0.958607314841775,142.201,3.148220000000002,0.0,0.0,0.0,0.0
Cc1ccc2ccccc2c1,0.9208187539523752,142.201,3.148220000000001,0.0,0.0,0.0,0.0
c1ccc2ccccc2c1,0.1549019599857432,128.17399999999995,2.839800000000001,0.0,0.0,0.0,0.0
Cc1ccc(CCN)cc1,1.853871964321762,135.21000000000004,1.49622,1.0,1.0,26.02,2.0
CCCCCCCC1CCC(=O)O1,1.3467874862246563,184.27899999999997,3.052500000000002,0.0,2.0,26.3,6.0
Clc1ccc(-c2ccccc2)cc1,1.3098039199714864,188.657,4.007000000000002,0.0,0.0,0.0,1.0
CCCCC1CCCCC1,1.2596373105057561,140.26999999999998,3.7569000000000026,0.0,0.0,0.0,3.0
